Category	Points	Question	Answer	Reference
Laws of Sacrifice	100	What was the purpose of laying a hand on the head of the burnt offering?	It shall be accepted for him to make atonement for him.	Leviticus 1:4
Laws of Sacrifice	200	What was to be done with the blood of the bull offered as a burnt offering?	It was to be thrown against the sides of the altar.	Leviticus 1:5
Laws of Sacrifice	300	What were the ingredients for a grain offering cooked in a pan?	Fine flour with oil.	Leviticus 2:7
Laws of Sacrifice	400	If a common person brought a lamb for a sin offering, what was the requirement for it?	A female without blemish.	Leviticus 4:32
Laws of Sacrifice	500	What was the consequence if someone ate the flesh of a peace offering on the third day?	It would not be accepted, it is tainted, and the person shall bear his iniquity.	Leviticus 7:18
The Priesthood	100	What did Moses use to anoint and consecrate the tabernacle and everything in it?	The anointing oil.	Leviticus 8:10
The Priesthood	200	What happened to Nadab and Abihu as a result of their offering?	Fire came out from before the Lord and consumed them, and they died.	Leviticus 10:2
The Priesthood	300	What were the priests responsible for teaching the people of Israel?	All the statutes that the Lord has spoken to them by Moses.	Leviticus 10:11
The Priesthood	400	What is the punishment for the daughter of a priest who profanes herself by whoring?	She shall be burned with fire.	Leviticus 21:9
The Priesthood	500	What two things in the sanctuary was a priest with a blemish not allowed to approach?	The veil and the altar.	Leviticus 21:23
Clean and Unclean Animals	100	Why is the hare considered unclean?	Because it chews the cud but does not part the hoof.	Leviticus 11:6
Clean and Unclean Animals	200	What are water creatures without fins and scales considered?	Detestable.	Leviticus 11:10
Clean and Unclean Animals	300	Animals that walk on what feature are considered unclean?	Their paws.	Leviticus 11:27
Clean and Unclean Animals	400	What types of swarming things are considered detestable and not to be eaten?	Whatever goes on its belly, on all fours, or has many feet.	Leviticus 11:42
Clean and Unclean Animals	500	Why were the Israelites commanded to be holy?	Because the Lord their God is holy.	Leviticus 11:44
Laws of Purity	100	For how many weeks is a woman unclean after giving birth to a female child?	Two weeks.	Leviticus 12:5
Laws of Purity	200	If a burn on the skin develops a reddish-white spot that is deeper than the skin and has white hair, what is it?	A leprous disease.	Leviticus 13:25
Laws of Purity	300	What must a clean person do if a man with a discharge spits on him?	Wash his clothes, bathe in water, and be unclean until the evening.	Leviticus 15:8
Laws of Purity	400	What offering does a woman bring on the eighth day after being cleansed of an unclean discharge?	Two turtledoves or two pigeons.	Leviticus 15:29
Laws of Purity	500	What was the first step a priest took when told of a possible disease in a house?	Command that they empty the house.	Leviticus 14:36
The Holiness Code	100	The people of Israel were told not to live like the people of which two lands?	Egypt and Canaan.	Leviticus 18:3
The Holiness Code	200	When reaping a harvest, what part of the field was not to be reaped?	The edge of the field.	Leviticus 19:9
The Holiness Code	300	What two practices related to the dead or marking the body were forbidden?	Making any cuts on your body for the dead or tattooing yourselves.	Leviticus 19:28
The Holiness Code	400	What is the penalty for a person who turns to mediums and necromancers?	I will set my face against that person and will cut him off from among his people.	Leviticus 20:6
The Holiness Code	500	What kind of land did the Lord promise to give the Israelites?	A land flowing with milk and honey.	Leviticus 20:24
Sabbath and Jubilee	100	For how many years were the people to sow their fields and prune their vineyards?	Six years.	Leviticus 25:3
Sabbath and Jubilee	200	What were the Israelites not to reap during the Sabbath year?	What grows of itself in your harvest.	Leviticus 25:5
Sabbath and Jubilee	300	How many years were to be counted to determine the Year of Jubilee?	Seven weeks of years, or forty-nine years.	Leviticus 25:8
Sabbath and Jubilee	400	If a man sells a dwelling house in a walled city, how long does he have to redeem it?	Within a full year of its sale.	Leviticus 25:29
Sabbath and Jubilee	500	What happens to a dedicated field when it is released in the jubilee?	It shall be a holy gift to the Lord, and the priest shall be in possession of it.	Leviticus 27:21
