Category	Points	Question	Answer	Reference
The Twelve Disciples	100	Which apostle was also a tax collector?	Matthew	Matthew 10:3
The Twelve Disciples	200	Who was Andrew's brother?	Simon Peter	John 1:40
The Twelve Disciples	300	What was the title given to James and John by Jesus?	Boanerges, which means Sons of Thunder.	Mark 3:17
The Twelve Disciples	400	What did Jesus say to Peter after he declared he would never fall away?	"Truly, I tell you, this very night, before the rooster crows, you will deny me three times."	Matthew 26:34
The Twelve Disciples	500	What did Jesus prophesy about Peter's death?	That he would stretch out his hands and another would dress him and carry him where he did not want to go, signifying the kind of death by which he would glorify God.	John 21:18-19
Sermon on the Mount	100	In the Sermon on the Mount, what did Jesus say about those who mourn?	They shall be comforted.	Matthew 5:4
Sermon on the Mount	200	What does Jesus say will happen to a city set on a hill?	It cannot be hidden.	Matthew 5:14
Sermon on the Mount	300	What analogy does Jesus use to describe someone who hears his words and does them?	A wise man who built his house on the rock.	Matthew 5:24
Sermon on the Mount	400	What did Jesus say about a person who is not with him?	"Whoever is not with me is against me, and whoever does not gather with me scatters."	Matthew 12:30
Sermon on the Mount	500	What did Jesus say about every careless word people speak?	They will give account for it on the day of judgment.	Matthew 12:36
John the Baptist	100	What did John the Baptist preach in the wilderness of Judea?	"Repent, for the kingdom of heaven is at hand."	Matthew 3:2
John the Baptist	200	What was John the Baptist's diet in the wilderness?	Locusts and wild honey	Matthew 3:4
John the Baptist	300	What did John the Baptist tell the soldiers to be content with?	Their wages	Luke 3:14
John the Baptist	400	What was John the Baptist's response when the people wondered if he might be the Christ?	He said one mightier than he was coming, whose sandals he was not worthy to untie.	Luke 3:15-16
John the Baptist	500	For reproving Herod the tetrarch about whom did John the Baptist get locked in prison?	Herodias, his brother's wife	Luke 3:19
Miracles of Jesus	100	Whose mother-in-law did Jesus heal of a fever?	Simon's (Peter's)	Matthew 8:14
Miracles of Jesus	200	What did the leper say to Jesus, showing his faith in Jesus' ability to heal?	"Lord, if you will, you can make me clean."	Matthew 8:2
Miracles of Jesus	300	How many baskets of broken pieces were collected after feeding the four thousand?	Seven	Mark 8:8
Miracles of Jesus	400	What did the father of the boy with the unclean spirit say to Jesus?	"I believe; help my unbelief!"	Mark 9:24
Miracles of Jesus	500	What was the name of the pool where the invalid lay for 38 years?	Bethesda	John 5:2
Parables of Jesus	100	In the parable of the soils, what do the thorns that choke the seed represent?	The cares of the world and the deceitfulness of riches.	Matthew 13:22
Parables of Jesus	200	What did the rich man in Hades ask Abraham to send Lazarus to do?	Dip the end of his finger in water to cool his tongue.	Luke 16:24
Parables of Jesus	300	What was the complaint of the laborers who were hired first in the parable?	That the last laborers, who worked only one hour, were made equal to them.	Matthew 20:12
Parables of Jesus	400	In the parable of the two sons, who did Jesus say would enter the kingdom of God before the chief priests and elders?	The tax collectors and the prostitutes	Matthew 21:31
Parables of Jesus	500	What did the vinedresser in the parable of the barren fig tree ask for?	To let the tree alone for one more year.	Luke 13:8
Final Week	100	Where was Mary when she anointed Jesus with expensive ointment?	At a dinner in Bethany.	John 12:2-3
Final Week	200	What did the children in the temple cry out, which made the chief priests indignant?	"Hosanna to the Son of David!"	Matthew 21:15
Final Week	300	What did Jesus say about the cup after supper, when instituting the new covenant?	"This cup that is poured out for you is the new covenant in my blood."	Luke 22:20
Final Week	400	What happened to the band of soldiers and officers when Jesus said "I am he"?	They drew back and fell to the ground.	John 18:6
Final Week	500	What did the chief priests say about putting the betrayal money into the treasury?	"It is not lawful to put them into the treasury, since it is blood money."	Matthew 27:6
