Category	Points	Question	Answer	Reference
Laws of Sacrifice	100	On which side of the altar was a burnt offering from the flock to be killed?	On the north side of the altar.	Leviticus 1:11
Laws of Sacrifice	200	What must be done to a griddle-baked grain offering before pouring oil on it?	You shall break it in pieces.	Leviticus 2:6
Laws of Sacrifice	300	Where on the altar was the fat of the peace offering burned?	On top of the burnt offering, which is on the wood on the fire.	Leviticus 3:5
Laws of Sacrifice	400	What was the standard compensation offering for the sins listed in the beginning of chapter 5?	A female from the flock, a lamb or a goat, for a sin offering.	Leviticus 5:6
Laws of Sacrifice	500	When making restitution for deceiving a neighbor, what must be added to the full amount?	A fifth.	Leviticus 6:5
The Ordination of Priests	100	What items did Moses gather for the ordination of Aaron and his sons?	The garments, anointing oil, a bull for the sin offering, two rams, and a basket of unleavened bread.	Leviticus 8:2
The Ordination of Priests	200	What was on the front of Aaron's turban?	The golden plate, the holy crown.	Leviticus 8:9
The Ordination of Priests	300	What was the second ram presented during the ordination ceremony called?	The ram of ordination.	Leviticus 8:22
The Ordination of Priests	400	What was Moses' personal portion of the ram of ordination?	The breast.	Leviticus 8:29
The Ordination of Priests	500	For how many days were Aaron and his sons to remain at the entrance of the tent of meeting to complete their ordination?	Seven days.	Leviticus 8:33
Laws of Leprosy	100	If a skin spot was white but not deep and the hair had not turned white, what was the priest to do?	Shut up the diseased person for seven days.	Leviticus 13:4
Laws of Leprosy	200	If a disease breaks out and covers a person's entire body from head to foot with white skin, what is the priest's diagnosis?	He shall pronounce him clean of the disease.	Leviticus 13:13
Laws of Leprosy	300	What must be done with a garment confirmed to have a persistent leprous disease?	It shall be burned in the fire.	Leviticus 13:52
Laws of Leprosy	400	On which three body parts of the cleansed leper did the priest put blood from the guilt offering?	The lobe of the right ear, the thumb of his right hand, and the big toe of his right foot.	Leviticus 14:14
Laws of Leprosy	500	If the leprous disease broke out again in a house after it was repaired, what was the house considered?	Unclean, with a persistent leprous disease.	Leviticus 14:44
Dietary Laws	100	Why is the rock badger considered unclean?	Because it chews the cud but does not part the hoof.	Leviticus 11:5
Dietary Laws	200	Name two types of edible hopping insects.	(Any two from) the locust, the bald locust, the cricket, the grasshopper.	Leviticus 11:22
Dietary Laws	300	What must be done to an article of wood, a garment, a skin, or a sack that is touched by a dead swarming thing?	It must be put into water and remains unclean until the evening.	Leviticus 11:32
Dietary Laws	400	What must a person who eats from the carcass of a clean animal that died on its own do?	Wash his clothes and be unclean until the evening.	Leviticus 11:40
Dietary Laws	500	What is the stated purpose for the laws distinguishing between clean and unclean animals?	To make a distinction between the unclean and the clean, and between the creature that may be eaten and the one that may not.	Leviticus 11:47
Moral and Ceremonial Laws	100	To whom were the Israelites forbidden to sacrifice anymore?	To goat demons.	Leviticus 17:7
Moral and Ceremonial Laws	200	What is the promised result for a person who keeps the Lord's statutes and rules?	He shall live by them.	Leviticus 18:5
Moral and Ceremonial Laws	300	What are you commanded to do instead of hating your brother in your heart?	You shall reason frankly with your neighbor.	Leviticus 19:17
Moral and Ceremonial Laws	400	What is the Lord's response if the people fail to punish a man who gives his child to Molech?	I will set my face against that man and against his clan and will cut them off.	Leviticus 20:5
Moral and Ceremonial Laws	500	What is the rule about killing an animal and her young?	You shall not kill an ox or a sheep and her young in one day.	Leviticus 22:28
Blessings and Curses	100	If the Israelites walk in God's statutes, what will He give them in their season?	Rains.	Leviticus 26:4
Blessings and Curses	200	What blessing regarding enemies is promised for obedience?	Five of you shall chase a hundred, and a hundred of you shall chase ten thousand.	Leviticus 26:8
Blessings and Curses	300	What is the first curse mentioned if the people do not listen to the commandments?	Panic, with wasting disease and fever.	Leviticus 26:16
Blessings and Curses	400	What terrible act will the people commit because of famine if they walk contrary to God in fury?	You shall eat the flesh of your sons, and you shall eat the flesh of your daughters.	Leviticus 26:29
Blessings and Curses	500	What promise does God make to the Israelites even when they are in the land of their enemies?	I will not spurn them, neither will I abhor them so as to destroy them utterly.	Leviticus 26:44
