Category	Points	Question	Answer	Reference
Offerings and Sacrifices	100	What types of birds could be brought as a burnt offering?	Turtledoves or pigeons.	Leviticus 1:14
Offerings and Sacrifices	200	Who received the rest of the grain offering after the memorial portion was burned?	Aaron and his sons.	Leviticus 2:3
Offerings and Sacrifices	300	What declaration is made about fat in the law of peace offerings?	All fat is the Lord's.	Leviticus 3:16
Offerings and Sacrifices	400	What was the offering for someone who sinned without knowing it, by doing something the Lord commanded not to be done?	A ram without blemish from the flock for a guilt offering.	Leviticus 5:18
Offerings and Sacrifices	500	What was the rule for a grain offering made by a priest?	The whole of it shall be burned. It shall not be eaten.	Leviticus 6:23
The Priesthood	100	What did the sons of Aaron the priest put on the altar before arranging the wood?	Fire.	Leviticus 1:7
The Priesthood	200	What was the perpetual rule concerning the fire on the altar?	The fire on the altar shall be kept burning on it; it shall not go out.	Leviticus 6:12-13
The Priesthood	300	What happens to whatever touches the most holy food offerings of the Lord?	It shall become holy.	Leviticus 6:18
The Priesthood	400	What kind of wife must the high priest take?	A wife in her virginity.	Leviticus 21:13
The Priesthood	500	What must a person do if they eat a holy thing unintentionally?	Add a fifth of its value to it and give the holy thing to the priest.	Leviticus 22:14
Laws of Clean and Unclean	100	Why is the camel considered unclean?	Because it chews the cud but does not part the hoof.	Leviticus 11:4
Laws of Clean and Unclean	200	On what day is a male child to be circumcised?	On the eighth day.	Leviticus 12:3
Laws of Clean and Unclean	300	What must be done to an oven or a stove if a part of an unclean carcass falls on it?	It shall be broken in pieces.	Leviticus 11:35
Laws of Clean and Unclean	400	What two things must a person with a leprous disease do with their clothing and hair?	Wear torn clothes and let the hair of his head hang loose.	Leviticus 13:45
Laws of Clean and Unclean	500	What was done with the two birds in the cleansing ritual for leprosy?	One was killed over fresh water, and the live one was dipped in its blood and let go.	Leviticus 14:5-7
The Day of Atonement	100	After whose death did the Lord speak to Moses in chapter 16?	After the death of the two sons of Aaron.	Leviticus 16:1
The Day of Atonement	200	What was to be done with the goat on which the lot for Azazel fell?	It was to be presented alive and sent away into the wilderness.	Leviticus 16:10
The Day of Atonement	300	How many times did Aaron sprinkle the bull's blood in front of the mercy seat?	Seven times.	Leviticus 16:14
The Day of Atonement	400	What did the live goat bear on itself into the wilderness?	All their iniquities.	Leviticus 16:22
The Day of Atonement	500	How often was atonement to be made for the people of Israel?	Once in the year.	Leviticus 16:34
The Holiness Code	100	What must be done with a peace offering that is left over until the third day?	It shall be burned up with fire.	Leviticus 19:6
The Holiness Code	200	What two prohibitions are given concerning the deaf and the blind?	You shall not curse the deaf or put a stumbling block before the blind.	Leviticus 19:14
The Holiness Code	300	What kind of garment were the Israelites forbidden to wear?	A garment of cloth made of two kinds of material.	Leviticus 19:19
The Holiness Code	400	What is the penalty for anyone who curses his father or mother?	He shall surely be put to death.	Leviticus 20:9
The Holiness Code	500	What is the consequence for a man who takes his brother's wife?	It is impurity; they shall be childless.	Leviticus 20:21
Laws and Punishments	100	What was the punishment for blaspheming the name of the Lord?	He shall surely be put to death; all the congregation shall stone him.	Leviticus 24:16
Laws and Punishments	200	What is the principle of justice for injuring a neighbor?	Fracture for fracture, eye for eye, tooth for tooth.	Leviticus 24:20
Laws and Punishments	300	What is the punishment for anyone who gives their child to Molech?	He shall surely be put to death; the people of the land shall stone him with stones.	Leviticus 20:2
Laws and Punishments	400	What is the punishment for a man who commits adultery with his neighbor's wife?	Both the adulterer and the adulteress shall surely be put to death.	Leviticus 20:10
Laws and Punishments	500	If a woman approaches an animal and lies with it, what is the penalty?	You shall kill the woman and the animal.	Leviticus 20:16
