Category	Points	Question	Answer	Reference
The Sermon on the Mount	100	What does Jesus say about those who are persecuted for righteousness' sake?	"theirs is the kingdom of heaven"	Matthew 5:10
The Sermon on the Mount	200	Jesus said not to swear by your head for what reason?	Because you cannot make one hair white or black.	Matthew 5:36
The Sermon on the Mount	300	What is the first petition in the Lord's Prayer as recorded in Matthew?	"Our Father in heaven, hallowed be your name."	Matthew 6:9
The Sermon on the Mount	400	What did Jesus say about a blind man leading a blind man?	"Will they not both fall into a pit?"	Luke 6:39
The Sermon on the Mount	500	Who did Jesus say is like a foolish man who built his house on the sand?	Everyone who hears his words and does not do them.	Matthew 7:26
Healings and Miracles	100	What did the centurion's servant's condition?	He was lying paralyzed at home, suffering terribly.	Matthew 8:6
Healings and Miracles	200	What did Jesus say about the faith of the centurion?	"Truly, I tell you, with no one in Israel have I found such faith."	Matthew 8:10
Healings and Miracles	300	What did the people do when Jesus said Jairus's daughter was not dead but sleeping?	They laughed at him.	Luke 8:53
Healings and Miracles	400	What did the father of the demon-possessed boy say to Jesus?	"I believe; help my unbelief!"	Mark 9:24
Healings and Miracles	500	What did the formerly blind man's parents say when questioned by the Pharisees?	"We know that this is our son and that he was born blind. But how he now sees we do not know... Ask him; he is of age."	John 9:20-21
Parables of Jesus	100	In the parable of the soils, what happened to the seed sown along the path?	The birds came and devoured it.	Matthew 13:4
Parables of Jesus	200	What did the younger son in the parable long to eat in the far country?	The pods that the pigs ate.	Luke 15:16
Parables of Jesus	300	What did the unrighteous judge in the parable eventually do for the persistent widow?	He gave her justice.	Luke 18:5
Parables of Jesus	400	What did the nobleman's citizens say about him in the parable of the ten minas?	"We do not want this man to reign over us."	Luke 19:14
Parables of Jesus	500	What did the master say to the worthless servant who hid his talent?	"cast the worthless servant into the outer darkness. In that place there will be weeping and gnashing of teeth."	Matthew 25:30
The Passion Week	100	What was Jesus' instruction to the disciples about the donkey and colt they were to find?	"If anyone says anything to you, you shall say, 'The Lord needs them,' and he will send them at once."	Matthew 21:3
The Passion Week	200	What did Jesus say his Father would do for anyone who serves him?	The Father will honor him.	John 12:26
The Passion Week	300	What did Jesus say about paying taxes to Caesar?	"Render to Caesar the things that are Caesar’s, and to God the things that are God’s."	Mark 12:17
The Passion Week	400	What did the master say to the servant who earned five more talents?	"Well done, good and faithful servant. You have been faithful over a little; I will set you over much. Enter into the joy of your master."	Matthew 25:21
The Passion Week	500	What did the chief priests and scribes seek after Jesus cleansed the temple?	A way to destroy him	Mark 11:18
The Resurrection	100	What did the angel at the tomb tell the women about Jesus' location?	"He is not here, for he has risen"	Matthew 28:6
The Resurrection	200	Who did Peter see in the tomb?	The linen cloths by themselves.	Luke 24:12
The Resurrection	300	What did the risen Jesus say to the other women who met him as they were going to tell the disciples?	"Greetings!"	Matthew 28:9
The Resurrection	400	What did Jesus say to Thomas, who had doubted?	"Put your finger here, and see my hands; and put out your hand, and place it in my side. Do not disbelieve, but believe."	John 20:27
The Resurrection	500	What did the disciples do after the ascension?	They worshiped him and returned to Jerusalem with great joy, and were continually in the temple blessing God.	Luke 24:52-53
The Apostles	100	What were James and John doing in their boat when Jesus called them?	Mending their nets	Matthew 4:21
The Apostles	200	What did Jesus give the Twelve authority over?	Unclean spirits, to cast them out, and to heal every disease and every affliction.	Matthew 10:1
The Apostles	300	What was Peter's response to Jesus' question, "But who do you say that I am?"	"You are the Christ."	Mark 8:29
The Apostles	400	What did James and John, the sons of Zebedee, ask of Jesus?	To sit, one at his right hand and one at his left, in his glory.	Mark 10:37
The Apostles	500	What did Jesus pray for Peter?	That his faith may not fail.	Luke 22:32
