Category	Points	Question	Answer	Reference
The Five Offerings	100	What animals could be used for a burnt offering from the flock?	Sheep or goats.	Leviticus 1:10
The Five Offerings	200	How is the portion of the grain offering for Aaron and his sons described?	It is a most holy part of the Lord's food offerings.	Leviticus 2:3
The Five Offerings	300	What was the required offering if the whole congregation of Israel sinned unintentionally?	A bull from the herd for a sin offering.	Leviticus 4:14
The Five Offerings	400	What must a person do when they realize their guilt after swearing a rash oath?	Confess the sin he has committed.	Leviticus 5:5
The Five Offerings	500	What was the penalty for a person who ate the fat of an animal from which a food offering could be made?	That person shall be cut off from his people.	Leviticus 7:25
The Priesthood	100	Where was the blood of the bird offering to be drained?	On the side of the altar.	Leviticus 1:15
The Priesthood	200	Where was the priests' portion of the grain offering to be eaten?	In a holy place, in the court of the tent of meeting.	Leviticus 6:16
The Priesthood	300	What must be done if blood from the sin offering splatters on a garment?	You shall wash that on which it was splashed in a holy place.	Leviticus 6:27
The Priesthood	400	What two signs of mourning were forbidden to the high priest?	He shall not let the hair of his head hang loose nor tear his clothes.	Leviticus 21:10
The Priesthood	500	Under what condition could a slave eat a priest's holy food?	If a priest buys a slave as his property for money.	Leviticus 22:11
Laws of Purity	100	Name three birds listed as detestable.	(Any three from) the eagle, the bearded vulture, the black vulture, the kite, the falcon, any raven, the ostrich, the nighthawk, the sea gull, the hawk.	Leviticus 11:13-16
Laws of Purity	200	What must be done to an earthenware vessel if a dead swarming thing falls into it?	You shall break it.	Leviticus 11:33
Laws of Purity	300	After the initial seven days of uncleanness for a son, how long must a woman wait in the blood of her purifying?	Thirty-three days.	Leviticus 12:4
Laws of Purity	400	If a man is bald on the back of his head, is he clean or unclean?	He is clean.	Leviticus 13:40
Laws of Purity	500	What offering does a man bring on the eighth day after being cleansed of a discharge?	Two turtledoves or two pigeons.	Leviticus 15:14
The Day of Atonement	100	Where did the Lord say He would appear?	In the cloud over the mercy seat.	Leviticus 16:2
The Day of Atonement	200	What animals was Aaron to bring for himself to enter the Holy Place?	A bull from the herd for a sin offering and a ram for a burnt offering.	Leviticus 16:3
The Day of Atonement	300	What was to be done with the goat on which the lot for Azazel fell?	It was to be presented alive and sent away into the wilderness.	Leviticus 16:10
The Day of Atonement	400	What did the live goat bear on itself into the wilderness?	All their iniquities.	Leviticus 16:22
The Day of Atonement	500	What was the man who let the goat go to Azazel required to do before re-entering the camp?	Wash his clothes and bathe his body in water.	Leviticus 16:26
The Holiness Code	100	What did the land do to the nations who committed these abominations before Israel?	The land vomited out its inhabitants.	Leviticus 18:25
The Holiness Code	200	What is the rule for judging a neighbor in court?	You shall not be partial to the poor or defer to the great, but in righteousness shall you judge your neighbor.	Leviticus 19:15
The Holiness Code	300	If a man lies with a female slave assigned to another man, why are they not put to death?	Because she was not free.	Leviticus 19:20
The Holiness Code	400	What is the penalty for a man who lies with a male as with a woman?	They shall surely be put to death.	Leviticus 20:13
The Holiness Code	500	What is the consequence for a man who lies with his uncle's wife?	They shall bear their sin; they shall die childless.	Leviticus 20:20
Vows and Valuations	100	What is the valuation for a female between twenty and sixty years old if vowed to the Lord?	Thirty shekels.	Leviticus 27:4
Vows and Valuations	200	What is the valuation for a male sixty years or older?	Fifteen shekels.	Leviticus 27:7
Vows and Valuations	300	If a person wishes to redeem a dedicated unclean animal, what must they add to its valuation?	A fifth.	Leviticus 27:13
Vows and Valuations	400	How was a dedicated field to be valued?	In proportion to its seed; a homer of barley seed was valued at fifty shekels of silver.	Leviticus 27:16
Vows and Valuations	500	What could not be sold or redeemed if it was devoted to the Lord?	Anything that a man has, whether man or beast, or of his inherited field.	Leviticus 27:28
