Category	Points	Question	Answer	Reference
Birth of Jesus	100	To what town in Judea did Joseph and Mary travel for the registration?	Bethlehem	Luke 2:4
Birth of Jesus	200	What was the first thing the shepherds did after the angels departed?	They said to one another, "Let us go over to Bethlehem and see this thing that has happened..."	Luke 2:15
Birth of Jesus	300	What did Herod secretly ask the wise men?	What time the star had appeared.	Matthew 2:7
Birth of Jesus	400	What guided the wise men to the house where Jesus was?	The star that they had seen when it rose.	Matthew 2:9
Birth of 'Jesus	500	What prophecy was fulfilled when Joseph took Jesus and Mary to Egypt?	"Out of Egypt I called my son."	Matthew 2:15
Jesus's Childhood	100	To which district did Joseph withdraw after being warned in a dream not to return to Judea?	Galilee	Matthew 2:22
Jesus's Childhood	200	What did Jesus' parents do every year at the Feast of the Passover?	They went to Jerusalem.	Luke 2:41
Jesus's Childhood	300	What was Jesus doing in the temple when his parents found him?	Sitting among the teachers, listening to them and asking them questions.	Luke 2:46
Jesus's Childhood	400	What was Jesus' answer to his mother when she asked why he had stayed behind in Jerusalem?	"Why were you looking for me? Did you not know that I must be in my Father's house?"	Luke 2:49
Jesus's Childhood	500	What did all who heard the twelve-year-old Jesus in the temple marvel at?	His understanding and his answers.	Luke 2:47
John the Baptist	100	What did John the Baptist preach in the wilderness of Judea?	"Repent, for the kingdom of heaven is at hand."	Matthew 3:2
John the Baptist	200	What did the crowds ask John the Baptist after he called them a brood of vipers?	"What then shall we do?"	Luke 3:10
John the Baptist	300	What did John the Baptist tell the soldiers to be content with?	Their wages	Luke 3:14
John the Baptist	400	What was John the Baptist's response when the people wondered if he might be the Christ?	He said one mightier than he was coming, whose sandals he was not worthy to untie.	Luke 3:15-16
John the Baptist	500	What did Jesus say to John when John tried to prevent him from being baptized?	"Let it be so now, for thus it is fitting for us to fulfill all righteousness."	Matthew 3:15
First Disciples	100	When the Jews sent priests and Levites to John, what did he confess?	"I am not the Christ."	John 1:20
First Disciples	200	What did Philip say to Nathanael?	"We have found him of whom Moses in the Law and also the prophets wrote, Jesus of Nazareth, the son of Joseph."	John 1:45
First Disciples	300	Who told the servants at the wedding in Cana, "Do whatever he tells you"?	Jesus' mother	John 2:5
First Disciples	400	What did the master of the feast say to the bridegroom after tasting the water that had become wine?	"Everyone serves the good wine first... But you have kept the good wine until now."	John 2:10
First Disciples	500	What did Jesus' disciples remember was written after he cleansed the temple?	"Zeal for your house will consume me."	John 2:17
Jesus and Nicodemus	100	What did the Jews ask Jesus after he cleansed the temple?	"What sign do you show us for doing these things?"	John 2:18
Jesus and Nicodemus	200	How long did the Jews say it took to build the temple?	Forty-six years	John 2:20
Jesus and Nicodemus	300	What did Jesus say must happen to the Son of Man, just as Moses lifted up the serpent in the wilderness?	He must be lifted up.	John 3:14
Jesus and Nicodemus	400	What did John the Baptist's disciples dispute with a Jew about?	Purification	John 3:25
Jesus and Nicodemus	500	Who did John the Baptist say has the bride?	The bridegroom	John 3:29
Miracles in Galilee	100	What official's son did Jesus heal from a distance?	An official at Capernaum.	John 4:46-47
Miracles in Galilee	200	What was Simon Peter's response when Jesus asked him to put out his nets for a catch?	"Master, we toiled all night and took nothing! But at your word I will let down the nets."	Luke 5:5
Miracles in Galilee	300	What happened to the nets after the miraculous catch of fish?	They were breaking.	Luke 5:6
Miracles in Galilee	400	What did Jesus say to Simon Peter after the great catch of fish?	"Do not be afraid; from now on you will be catching men."	Luke 5:10
Miracles in Galilee	500	What did the leper say to Jesus, showing his faith in Jesus' ability to heal?	"Lord, if you will, you can make me clean."	Matthew 8:2
