Category	Points	Question	Answer	Reference
Calling of the Disciples	100	Where did Jesus find Matthew (Levi) sitting when he called him?	At the tax booth	Matthew 9:9
Calling of the Disciples	200	What question did the disciples of John ask Jesus about fasting?	"Why do we and the Pharisees fast, but your disciples do not fast?"	Matthew 9:14
Calling of the Disciples	300	What did Jesus say to the disciples of John about the wedding guests?	"Can the wedding guests mourn as long as the bridegroom is with them?"	Matthew 9:15
Calling of the Disciples	400	What did Jesus name the twelve disciples he chose?	Apostles	Luke 6:13
Calling of the Disciples	500	What did Jesus tell his disciples to be as wise as and as innocent as?	Wise as serpents and innocent as doves.	Matthew 10:16
Sabbath Healings	100	On what day did Jesus heal the invalid at the pool of Bethesda?	The Sabbath	John 5:9
Sabbath Healings	200	What did Jesus tell the man he had healed at the temple afterward?	"See, you are well! Sin no more, that nothing worse may happen to you."	John 5:14
Sabbath Healings	300	When the disciples plucked grain on the Sabbath, what did Jesus say he desired, not sacrifice?	Mercy	Matthew 12:7
Sabbath Healings	400	What was the reaction of the scribes and Pharisees in the synagogue when Jesus healed the man with the withered hand?	They were filled with fury and discussed with one another what they might do to Jesus.	Luke 6:11
Sabbath Healings	500	What did Jesus say about the guilt of those who would have condemned the guiltless disciples?	"if you had known what this means, ‘I desire mercy, and not sacrifice,’ you would not have condemned the guiltless."	Matthew 12:7
Sermon on the Mount	100	What does Jesus say about those who are persecuted for righteousness' sake?	"theirs is the kingdom of heaven"	Matthew 5:10
Sermon on the Mount	200	What does Jesus say will happen to a city set on a hill?	It cannot be hidden.	Matthew 5:14
Sermon on the Mount	300	Jesus said not to swear by your head for what reason?	Because you cannot make one hair white or black.	Matthew 5:36
Sermon on the Mount	400	What did Jesus say to do for those who curse you?	Bless them	Luke 6:28
Sermon on the Mount	500	What analogy does Jesus use to describe someone who hears his words and does them?	A wise man who built his house on the rock.	Matthew 5:24
The Centurion's Faith	100	Who did the centurion send to Jesus first to ask him to heal his servant?	Elders of the Jews	Luke 7:3
The Centurion's Faith	200	What was the centurion's servant's condition?	He was lying paralyzed at home, suffering terribly.	Matthew 8:6
The Centurion's Faith	300	What did Jesus say about the faith of the centurion?	"Truly, I tell you, with no one in Israel have I found such faith."	Matthew 8:10
The Centurion's Faith	400	Who did the Pharisee Simon say would love the moneylender more?	"The one, I suppose, for whom he cancelled the larger debt."	Luke 7:43
The Centurion's Faith	500	What did Jesus tell the woman who anointed his feet?	"Your sins are forgiven... Your faith has saved you; go in peace."	Luke 7:48, 50
Parables of the Kingdom	100	In the parable of the soils, what happened to the seed sown along the path?	The birds came and devoured it.	Matthew 13:4
Parables of the Kingdom	200	In the explanation of the parable of the soils, who snatches away the word sown in the heart?	The evil one	Matthew 13:19
Parables of the Kingdom	300	How did the disciples react to Jesus' teaching in parables in his hometown?	They took offense at him.	Matthew 13:57
Parables of the Kingdom	400	How many brothers of Jesus are named in the gospel of Matthew?	Four (James, Joseph, Simon, and Judas)	Matthew 13:55
Parables of the Kingdom	500	What did Jesus say every kingdom divided against itself is?	Laid waste	Matthew 12:25
Feeding the Multitudes	100	How many men did Jesus feed with five loaves and two fish, besides women and children?	About five thousand	Matthew 14:21
Feeding the Multitudes	200	After dismissing the crowds, where did Jesus go by himself to pray?	Up on the mountain	Matthew 14:23
Feeding the Multitudes	300	What was the disciples' reaction when Peter walked on the water and then began to sink?	Those in the boat worshiped him, saying, "Truly you are the Son of God."	Matthew 14:33
Feeding the Multitudes	400	How many baskets of broken pieces were collected after feeding the four thousand?	Seven	Mark 8:8
Feeding the Multitudes	500	After feeding the four thousand, to what district did Jesus and his disciples go?	Dalmanutha	Mark 8:10
