Category	Points	Question	Answer	Reference
The Sacrificial System	100	Where was the burnt offering from the herd to be brought for acceptance before the Lord?	To the entrance of the tent of meeting.	Leviticus 1:3
The Sacrificial System	200	What portion of the grain offering was burned on the altar?	A handful of the fine flour and oil, with all of its frankincense.	Leviticus 2:2
The Sacrificial System	300	Where was the rest of the blood from the priest's bull poured out?	At the base of the altar of burnt offering.	Leviticus 4:7
The Sacrificial System	400	What is the sin described for a person who hears a public adjuration to testify but does not speak?	He shall bear his iniquity.	Leviticus 5:1
The Sacrificial System	500	What was the penalty for any person who ate any kind of blood?	That person shall be cut off from his people.	Leviticus 7:27
The Aaronic Priesthood	100	What part of the bird offering was to be removed and cast beside the altar?	Its crop with its contents.	Leviticus 1:16
The Aaronic Priesthood	200	What offering was required from Aaron and his sons on the day of their anointing?	A tenth of an ephah of fine flour as a regular grain offering.	Leviticus 6:20
The Aaronic Priesthood	300	Who was permitted to eat the sin offering?	The priest who offers it for sin.	Leviticus 6:26
The Aaronic Priesthood	400	For whom was the high priest forbidden to make himself unclean, even for the dead?	His father or for his mother.	Leviticus 21:11
The Aaronic Priesthood	500	If a priest's daughter marries a layman, can she eat of the holy things?	No, she shall not eat of the contribution of the holy things.	Leviticus 22:12
Laws of Purity and Impurity	100	Name three swarming things on the ground that are considered unclean.	(Any three from) the mole rat, the mouse, the great lizard, the gecko, the monitor lizard, the lizard, the sand lizard, the chameleon.	Leviticus 11:29-30
Laws of Purity and Impurity	200	Under what condition does seed grain become unclean if a carcass falls on it?	If water is put on the seed.	Leviticus 11:38
Laws of Purity and Impurity	300	What offerings must a woman bring after her days of purifying are complete?	A lamb for a burnt offering and a pigeon or turtledove for a sin offering.	Leviticus 12:6
Laws of Purity and Impurity	400	What color hair in a scalp or beard itch indicated a leprous disease?	Yellow and thin.	Leviticus 13:30
Laws of Purity and Impurity	500	For how long is a woman in her menstrual impurity?	Seven days.	Leviticus 15:19
The Day of Atonement	100	What animals was Aaron to take from the congregation for the Day of Atonement?	Two male goats for a sin offering and one ram for a burnt offering.	Leviticus 16:5
The Day of Atonement	200	What was to be done with the goat on which the lot for the Lord fell?	It was to be used as a sin offering.	Leviticus 16:9
The Day of Atonement	300	What did Aaron do with his hands on the head of the live goat?	He laid both his hands on its head.	Leviticus 16:21
The Day of Atonement	400	What was done with the bull and goat whose blood was brought into the Holy Place?	They were carried outside the camp and their skin, flesh, and dung were burned.	Leviticus 16:27
The Day of Atonement	500	How is the Day of Atonement described?	A Sabbath of solemn rest.	Leviticus 16:31
The Holiness Code	100	What warning is given to the Israelites if they make the land unclean?	Lest the land vomit you out.	Leviticus 18:28
The Holiness Code	200	What must not remain with an employer all night until the morning?	The wages of a hired worker.	Leviticus 19:13
The Holiness Code	300	What actions are commanded in the presence of the elderly?	You shall stand up before the gray head and honor the face of an old man.	Leviticus 19:32
The Holiness Code	400	What is the punishment for a man who marries his sister?	They shall be cut off in the sight of the children of their people.	Leviticus 20:17
The Holiness Code	500	What part of the produce of the land is the Lord's?	Every tithe of the land, whether of the seed of the land or of the fruit of the trees.	Leviticus 27:30
Blessings and Curses	100	What does God promise to make among the people if they are obedient?	I will make my dwelling among you.	Leviticus 26:11
Blessings and Curses	200	If the people will not listen, what will their heavens and earth become like?	Your heavens like iron and your earth like bronze.	Leviticus 26:19
Blessings and Curses	300	What will happen to the bread supply if the people persist in disobedience?	Ten women shall bake your bread in a single oven.	Leviticus 26:26
Blessings and Curses	400	What will happen to the disobedient Israelites among the nations?	I will scatter you among the nations.	Leviticus 26:33
Blessings and Curses	500	Which three patriarchs' covenants will God remember?	Jacob, Isaac, and Abraham.	Leviticus 26:42
