Category	Points	Question	Answer	Reference
Women in the Gospels	100	What was the name of Zechariah's wife?	Elizabeth	Luke 1:5
Women in the Gospels	200	What did the Syrophoenician woman say even the dogs under the table eat?	The children's crumbs	Mark 7:28
Women in the Gospels	300	What did the woman who anointed Jesus' feet do with her hair?	She wiped his feet with it.	Luke 7:38
Women in the Gospels	400	Who was the household manager of Herod whose wife, Joanna, followed Jesus?	Chuza	Luke 8:3
Women in the Gospels	500	What did the Samaritan woman say she knew about the Messiah?	"When he comes, he will tell us all things."	John 4:25
Encounters with Jesus	100	What did Jesus say about Nathanael that prompted Nathanael to confess him as the Son of God?	"Before Philip called you, when you were under the fig tree, I saw you."	John 1:48
Encounters with Jesus	200	Why did the rich young ruler go away sorrowful?	For he had great possessions.	Matthew 19:22
Encounters with Jesus	300	What was the name of the demoniac in the country of the Gerasenes who lived among the tombs?	Legion	Mark 5:9
Encounters with Jesus	400	What did the two blind men near Jericho cry out to Jesus?	"Lord, have mercy on us, Son of David!"	Matthew 20:30
Encounters with Jesus	500	What was the name of the Pharisee and ruler of the Jews who came to Jesus by night?	Nicodemus	John 3:1
The Passion Narrative	100	What did Judas object to the anointing of Jesus, according to John?	Not because he cared for the poor, but because he was a thief and used to take from the moneybag.	John 12:6
The Passion Narrative	200	What was the name of the place where Jesus prayed before his arrest?	Gethsemane	Matthew 26:36
The Passion Narrative	300	What was the crime of Barabbas?	He had been thrown into prison for an insurrection started in the city and for murder.	Luke 23:19
The Passion Narrative	400	What did the soldiers offer Jesus to drink on the cross?	Sour wine	John 19:29
The Passion Narrative	500	What did the chief priests say to Pilate about Jesus's kingship?	"We have no king but Caesar."	John 19:15
The Resurrection	100	What did the angel at the tomb tell the women about Jesus' location?	"He is not here, for he has risen"	Matthew 28:6
The Resurrection	200	To whom did the risen Jesus say, "Do not cling to me, for I have not yet ascended to the Father"?	Mary Magdalene	John 20:17
The Resurrection	300	What did Jesus do to prove to the disciples that he was not a spirit?	He showed them his hands and his feet and ate a piece of broiled fish.	Luke 24:39-43
The Resurrection	400	What did the disciples give Jesus to eat after his resurrection?	A piece of broiled fish.	Luke 24:42
The Resurrection	500	What did some of the disciples do when they saw the risen Jesus on the mountain?	They doubted.	Matthew 28:17
Parables of Jesus	100	In the parable of the sower, what does the seed that fell on rocky ground represent?	The one who hears the word and immediately receives it with joy, but has no root and falls away during tribulation.	Matthew 13:20-21
Parables of Jesus	200	In the parable of the lost sheep, what does the shepherd do when he finds the one lost sheep?	He lays it on his shoulders, rejoicing.	Luke 15:5
Parables of Jesus	300	What did the wicked servant in the parable of the minas do with his mina?	He kept it laid away in a handkerchief.	Luke 19:20
Parables of Jesus	400	In the parable of the unforgiving servant, what did the king do when the first servant could not pay?	He ordered him, his wife, children, and all he had to be sold.	Matthew 18:25
Parables of Jesus	500	What did the older son complain that his father had never given him?	A young goat, that he might celebrate with his friends.	Luke 15:29
Miracles of Jesus	100	What was the name of the ruler of the synagogue whose daughter Jesus raised from the dead?	Jairus	Mark 5:22
Miracles of Jesus	200	How many pigs were in the herd that the demons entered and rushed into the sea?	About two thousand	Mark 5:13
Miracles of Jesus	300	What did Jesus say was the reason the disciples could not cast out the demon from the boy with seizures?	Because of their "little faith"	Matthew 17:20
Miracles of Jesus	400	When Peter and Jesus needed to pay the temple tax, where did Jesus say Peter would find the money?	In the mouth of the first fish he caught.	Matthew 17:27
Miracles of Jesus	500	What was the disciples' question to Jesus about the blind man?	"Rabbi, who sinned, this man or his parents, that he was born blind?"	John 9:2
