Category	Points	Question	Answer	Reference
Jesus's Prophecies	100	What did Jesus say would be the beginning of the birth pains?	Wars, rumors of wars, nation rising against nation, earthquakes, and famines.	Matthew 24:6-8
Jesus's Prophecies	200	What did Jesus say about his words passing away?	"Heaven and earth will pass away, but my words will not pass away."	Matthew 24:35
Jesus's Prophecies	300	In the third prediction of his death, what did Jesus say would happen to the Son of Man?	He would be delivered to the Gentiles, mocked, shamefully treated, spit upon, flogged, and killed, and on the third day he will rise.	Luke 18:32-33
Jesus's Prophecies	400	What did Jesus predict would happen to his disciples' sorrow?	It will turn into joy.	John 16:20
Jesus's Prophecies	500	What did Jesus prophesy about Peter's death?	That he would stretch out his hands and another would dress him and carry him where he did not want to go, signifying the kind of death by which he would glorify God.	John 21:18-19
The Pharisees	100	What did the Pharisees use to make void the word of God?	Their tradition	Matthew 15:6
The Pharisees	200	What question did the Pharisees ask Jesus concerning the kingdom of God?	When the kingdom of God would come.	Luke 17:20
The Pharisees	300	What did Jesus say the lawyers do with burdens?	They load people with burdens hard to bear, but do not touch the burdens themselves.	Luke 11:46
The Pharisees	400	What did Jesus say the scribes and Pharisees "shut" in people's faces?	The kingdom of heaven	Matthew 23:13
The Pharisees	500	What did Jesus call the Pharisees who were like cups clean on the outside but dirty on the inside?	"You blind Pharisee!"	Matthew 23:26
The Last Supper	100	What did the disciples eat during the Last Supper?	The Passover meal, including bread and wine.	Matthew 26:17, 26-27
The Last Supper	200	What did Jesus say about the one who dipped his hand in the dish with him?	"He who has dipped his hand in the dish with me will betray me."	Matthew 26:23
The Last Supper	300	What did Jesus earnestly desire to do with his apostles before he suffered?	To eat the Passover with them.	Luke 22:15
The Last Supper	400	Who motioned to the disciple whom Jesus loved to ask who the betrayer was?	Simon Peter	John 13:24
The Last Supper	500	What did Jesus say about the wine at the Last Supper, referring to a future event?	"I will not drink again of this fruit of the vine until that day when I drink it new with you in my Father’s kingdom."	Matthew 26:29
Trials of Jesus	100	What was the high priest's question to Jesus about?	His disciples and his teaching.	John 18:19
Trials of Jesus	200	What was the accusation that made Peter deny Jesus the third time?	"Certainly you too are one of them, for your accent betrays you."	Matthew 26:73
Trials of Jesus	300	What did Pilate perceive was the reason the chief priests had delivered Jesus up?	Out of envy	Mark 15:10
Trials of Jesus	400	What was Herod's reaction to seeing Jesus?	He was very glad and was hoping to see some sign done by him.	Luke 23:8
Trials of Jesus	500	What did the false witnesses at Jesus' trial disagree about?	His statement about destroying the temple.	Mark 14:58-59
The Crucifixion	100	Who was crucified with Jesus?	Two robbers/criminals	Matthew 27:38
The Crucifixion	200	What did the soldiers put in Jesus' right hand to mock him?	A reed	Matthew 27:29
The Crucifixion	300	What did Jesus say to his mother from the cross?	"Woman, behold, your son!"	John 19:26
The Crucifixion	400	What happened to the tombs at the moment of Jesus' death?	They were opened, and many bodies of the saints who had fallen asleep were raised.	Matthew 27:52
The Crucifixion	500	What were the last actions of Jesus before he "gave up his spirit"?	He cried out with a loud voice, or bowed his head.	Matthew 27:50, John 19:30
Post-Resurrection Appearances	100	What was the first thing the risen Jesus said to the ten disciples in the locked room?	"Peace be with you."	Luke 24:36
Post-Resurrection Appearances	200	What did the risen Jesus say to the other women who met him as they were going to tell the disciples?	"Greetings!"	Matthew 28:9
Post-Resurrection Appearances	300	What did Jesus interpret for the two disciples on the road to Emmaus?	In all the Scriptures the things concerning himself.	Luke 24:27
Post-Resurrection Appearances	400	What did the other disciples tell Thomas they had seen?	"We have seen the Lord."	John 20:25
Post-Resurrection Appearances	500	How did the disciple whom Jesus loved react when he entered the empty tomb?	He saw and believed.	John 20:8
