Category	Points	Question	Answer	Reference
The Day of Atonement	100	On what day was the Day of Atonement to be observed?	In the seventh month, on the tenth day of the month.	Leviticus 16:29
The Day of Atonement	200	What did Aaron have to bring inside the veil along with the censer of coals?	Two handfuls of sweet incense beaten small.	Leviticus 16:12
The Day of Atonement	300	After killing the people's sin offering goat, where did Aaron bring its blood?	Inside the veil.	Leviticus 16:15
The Day of Atonement	400	What did Aaron do with his hands on the head of the live goat?	He laid both his hands on its head.	Leviticus 16:21
The Day of Atonement	500	What was the man who let the goat go to Azazel required to do before re-entering the camp?	Wash his clothes and bathe his body in water.	Leviticus 16:26
Laws of Holiness	100	What is the command given to the congregation of Israel at the beginning of chapter 19?	You shall be holy, for I the Lord your God am holy.	Leviticus 19:2
Laws of Holiness	200	Who were the gleanings of the harvest and the fallen grapes of the vineyard to be left for?	The poor and for the sojourner.	Leviticus 19:10
Laws of Holiness	300	How is a stranger sojourning in the land to be treated?	As the native among you, and you shall love him as yourself.	Leviticus 19:34
Laws of Holiness	400	Why are the Israelites to be holy to the Lord?	For I the Lord am holy and have separated you from the peoples, that you should be mine.	Leviticus 20:26
Laws of Holiness	500	What did the Lord break to make the Israelites walk erect?	The bars of your yoke.	Leviticus 26:13
Priestly Regulations	100	What were priests forbidden to do to their heads and beards as a sign of mourning?	Make bald patches on their heads or shave off the edges of their beards.	Leviticus 21:5
Priestly Regulations	200	What kinds of women were priests forbidden to marry?	A prostitute, a woman who has been defiled, or a woman divorced from her husband.	Leviticus 21:7
Priestly Regulations	300	A descendant of Aaron with a blemish was not allowed to approach to offer what?	The bread of his God.	Leviticus 21:17
Priestly Regulations	400	Could a priest with a blemish eat the bread of his God?	Yes, both of the most holy and of the holy things.	Leviticus 21:22
Priestly Regulations	500	What is the requirement for a peace offering from the herd or flock to be accepted?	It must be perfect; there shall be no blemish in it.	Leviticus 22:21
The Feasts of the Lord	100	What is the name for the appointed feasts of the Lord?	Holy convocations.	Leviticus 23:2
The Feasts of the Lord	200	For how many days was the Feast of Unleavened Bread celebrated?	Seven days.	Leviticus 23:6
The Feasts of the Lord	300	How long were the people to count from the day the wave sheaf was offered?	Seven full weeks, or fifty days.	Leviticus 23:15-16
The Feasts of the Lord	400	What is the name of the holy day on the tenth day of the seventh month?	The Day of Atonement.	Leviticus 23:27
The Feasts of the Lord	500	What was to happen on the eighth day of the Feast of Booths?	A holy convocation and a solemn assembly.	Leviticus 23:36
Tabernacle and Worship	100	What kind of oil were the people to bring for the lamp in the tent of meeting?	Pure oil from beaten olives.	Leviticus 24:2
Tabernacle and Worship	200	How many loaves of bread were to be baked from fine flour for the table before the Lord?	Twelve loaves.	Leviticus 24:5
Tabernacle and Worship	300	Who was allowed to eat the bread from the table after it was replaced?	Aaron and his sons.	Leviticus 24:9
Tabernacle and Worship	400	What was the name of the blasphemer's mother?	Shelomith, the daughter of Dibri, of the tribe of Dan.	Leviticus 24:11
Tabernacle and Worship	500	Was there a different rule for the sojourner and the native regarding these laws?	No, you shall have the same rule for the sojourner and for the native.	Leviticus 24:22
Vows and Tithes	100	What is the valuation for a male between twenty and sixty years old if vowed to the Lord?	Fifty shekels of silver.	Leviticus 27:3
Vows and Tithes	200	What happens if someone is too poor to pay their valuation?	The priest shall value him according to what the vower can afford.	Levitic_27:8
Vows and Tithes	300	If a man wishes to redeem a house he dedicated to the Lord, what must he add to the valuation price?	A fifth.	Leviticus 27:15
Vows and Tithes	400	What kind of animal could not be dedicated by a man as a special vow?	A firstborn of animals.	Leviticus 27:26
Vows and Tithes	500	How was the tithe of herds and flocks determined?	Every tenth animal of all that pass under the herdsman's staff.	Leviticus 27:32
