Category	Points	Question	Answer	Reference
Sacrificial System	100	What were the requirements for a burnt offering from the herd?	A male without blemish.	Leviticus 1:3
Sacrificial System	200	What seasoning was required for all grain offerings?	Salt.	Leviticus 2:13
Sacrificial System	300	What two substances were the Israelites forbidden to eat as a perpetual statute in all their dwelling places?	Fat and blood.	Leviticus 3:17
Sacrificial System	400	If a person could not afford a lamb for their sin, what could they bring instead?	Two turtledoves or two pigeons.	Leviticus 5:7
Sacrificial System	500	What was the penalty for anyone who offered a burnt offering or sacrifice but did not bring it to the entrance of the tent of meeting?	That man shall be cut off from his people.	Leviticus 17:9
Laws of Purity	100	What are the two characteristics of a water creature that is clean to eat?	It must have fins and scales.	Leviticus 11:9
Laws of Purity	200	For how many days is a woman unclean after giving birth to a male child?	Seven days.	Leviticus 12:2
Laws of Purity	300	What must a person do if they touch the bed of a man with a discharge?	Wash his clothes, bathe in water, and be unclean until the evening.	Leviticus 15:5
Laws of Purity	400	What were two signs that a skin disease was leprous?	The hair in the area turned white and the disease appeared deeper than the skin.	Leviticus 13:3
Laws of Purity	500	Why must the people of Israel be kept separate from their uncleanness?	Lest they die in their uncleanness by defiling the tabernacle.	Leviticus 15:31
The Priesthood	100	Who was tasked with bringing the blood of the bull offering to the altar?	Aaron's sons the priests.	Leviticus 1:5
The Priesthood	200	What garments was the priest to wear when taking up the ashes of the burnt offering?	His linen garment and linen undergarment.	Leviticus 6:10
The Priesthood	300	What were the priests instructed to distinguish between?	The holy and the common, and between the unclean and the clean.	Leviticus 10:10
The Priesthood	400	For which relatives was a priest allowed to make himself unclean for the dead?	His mother, his father, his son, his daughter, his brother, or his virgin sister.	Leviticus 21:2-3
The Priesthood	500	Name three blemishes that would prevent a priest from serving at the altar.	(Any three from) blind, lame, mutilated face, limb too long, injured foot or hand, hunchback, dwarf, defect in his sight, itching disease, scabs, crushed testicles.	Leviticus 21:18-20
The Holy Festivals	100	What feast begins on the fifteenth day of the first month?	The Feast of Unleavened Bread.	Leviticus 23:6
The Holy Festivals	200	When was the priest to wave the sheaf of firstfruits?	On the day after the Sabbath.	Leviticus 23:11
The Holy Festivals	300	What was to be observed on the first day of the seventh month?	A day of solemn rest, a memorial proclaimed with blast of trumpets.	Leviticus 23:24
The Holy Festivals	400	What were the people required to do on the Day of Atonement?	Afflict themselves and do no work.	Leviticus 16:29
The Holy Festivals	500	On the first day of the Feast of Booths, what were the people to take?	The fruit of splendid trees, branches of palm trees, boughs of leafy trees, and willows of the brook.	Leviticus 23:40
Jubilee and Land Laws	100	In the year after the Israelites enter the land, what is the land to do?	Keep a Sabbath to the Lord.	Leviticus 25:2
Jubilee and Land Laws	200	In which year is the Year of Jubilee?	The fiftieth year.	Leviticus 25:10
Jubilee and Land Laws	300	What was each person to do in the Year of Jubilee?	Return to his property and return to his clan.	Leviticus 25:10
Jubilee and Land Laws	400	What did the Lord promise to command in the sixth year to provide for the Sabbath year?	His blessing, so that it will produce a crop sufficient for three years.	Leviticus 25:21
Jubilee and Land Laws	500	What happens to a house in a walled city if it is not redeemed within a year?	It belongs in perpetuity to the buyer; it shall not be released in the jubilee.	Leviticus 25:30
Prohibited Practices	100	To which false god were the Israelites forbidden to give their children?	Molech.	Leviticus 18:21
Prohibited Practices	200	Lying with a male as with a woman is called what?	An abomination.	Leviticus 18:22
Prohibited practices	300	What two grooming practices were forbidden?	Rounding off the hair on your temples or marring the edges of your beard.	Leviticus 19:27
Prohibited Practices	400	What is the punishment for a man who takes both a woman and her mother as wives?	He and they shall be burned with fire.	Leviticus 20:14
Prohibited Practices	500	What is the punishment for a man or a woman who is a medium or a necromancer?	They shall surely be put to death; they shall be stoned with stones.	Leviticus 20:27
