Category	Points	Question	Answer	Reference
Parables of Jesus	100	In the parable of the soils, what happened to the seed sown along the path?	The birds came and devoured it.	Matthew 13:4
Parables of Jesus	200	What excuse did the second person invited to the great banquet give?	"I have bought five yoke of oxen, and I go to examine them. Please have me excused."	Luke 14:19
Parables of Jesus	300	What did the Pharisee in the parable pray in the temple?	"God, I thank you that I am not like other men, extortioners, unjust, adulterers, or even like this tax collector."	Luke 18:11
Parables of Jesus	400	In the parable of the talents, why was the servant with one talent called wicked and slothful?	Because he was afraid and hid his master's money instead of investing it.	Matthew 25:24-26
Parables of Jesus	500	What did the master say to the servant who earned five more talents?	"Well done, good and faithful servant. You have been faithful over a little; I will set you over much. Enter into the joy of your master."	Matthew 25:21
Miracles of Jesus	100	What did the woman with the issue of blood do to be healed?	She came up behind him in the crowd and touched his garment.	Mark 5:27
Miracles of Jesus	200	How many men did Jesus feed with five loaves and two fish, besides women and children?	About five thousand	Matthew 14:21
Miracles of Jesus	300	What official's son did Jesus heal from a distance?	An official at Capernaum.	John 4:46-47
Miracles of Jesus	400	What did Jesus command at the tomb of Lazarus?	"Take away the stone."	John 11:39
Miracles of Jesus	500	What was the disciples' question to Jesus about the blind man?	"Rabbi, who sinned, this man or his parents, that he was born blind?"	John 9:2
People and Encounters	100	What did the Syrophoenician woman say even the dogs under the table eat?	The children's crumbs	Mark 7:28
People and Encounters	200	What was the name of the demoniac in the country of the Gerasenes who lived among the tombs?	Legion	Mark 5:9
People and Encounters	300	Why did the chief priests want to put Lazarus to death?	Because on account of him many of the Jews were going away and believing in Jesus.	John 12:10-11
People and Encounters	400	Who advised the Jews that it would be expedient that one man should die for the people?	Caiaphas	John 18:14
People and Encounters	500	Who was the respected member of the council who asked Pilate for Jesus' body?	Joseph of Arimathea	Mark 15:43
Passion and Resurrection	100	What did the Roman soldiers do with Jesus' garments after crucifying him?	They divided them into four parts, one for each soldier.	John 19:23
Passion and Resurrection	200	Who was standing by the cross of Jesus?	His mother, his mother’s sister, Mary the wife of Clopas, and Mary Magdalene.	John 19:25
Passion and Resurrection	300	What did the angel at the tomb look like?	His appearance was like lightning, and his clothing white as snow.	Matthew 28:3
Passion and Resurrection	400	What did the risen Jesus say to Thomas, who had doubted?	"Put your finger here, and see my hands; and put out your hand, and place it in my side. Do not disbelieve, but believe."	John 20:27
Passion and Resurrection	500	What did Jesus prophesy about Peter's death?	That he would stretch out his hands and another would dress him and carry him where he did not want to go, signifying the kind of death by which he would glorify God.	John 21:18-19
Teachings of Jesus	100	What did Jesus say about a city set on a hill?	It cannot be hidden.	Matthew 5:14
Teachings of Jesus	200	What did Jesus say to do for those who curse you?	Bless them	Luke 6:28
Teachings of Jesus	300	What did Jesus say about his "yoke" and "burden"?	"my yoke is easy, and my burden is light"	Matthew 11:30
Teachings of Jesus	400	What did Jesus say would happen to the person who denies him before men?	He will be denied before the angels of God.	Luke 12:9
Teachings of Jesus	500	What did Jesus say to his apostles when they asked him to increase their faith?	"If you had faith like a grain of mustard seed, you could say to this mulberry tree, ‘Be uprooted and planted in the sea,’ and it would obey you."	Luke 17:6
Early Life and Ministry	100	What was the name of Zechariah's wife?	Elizabeth	Luke 1:5
Early Life and Ministry	200	From where did the wise men come?	The east	Matthew 2:1
Early Life and Ministry	300	What was Jesus doing in the temple when his parents found him?	Sitting among the teachers, listening to them and asking them questions.	Luke 2:46
Early Life and Ministry	400	What was Jesus' first miracle?	Turning water into wine at Cana.	John 2:11
Early Life and Ministry	500	What was the name of the Pharisee and ruler of the Jews who came to Jesus by night?	Nicodemus	John 3:1
