Category	Points	Question	Answer	Reference
The Teachings of Jesus	100	What did Jesus say about a city set on a hill?	It cannot be hidden.	Matthew 5:14
The Teachings of Jesus	200	What did Jesus say to do for those who curse you?	Bless them	Luke 6:28
The Teachings of Jesus	300	What did Jesus say about his "yoke" and "burden"?	"my yoke is easy, and my burden is light"	Matthew 11:30
The Teachings of Jesus	400	What did Jesus say would happen to the person who denies him before men?	He will be denied before the angels of God.	Luke 12:9
The Teachings of Jesus	500	What did Jesus say to his apostles when they asked him to increase their faith?	"If you had faith like a grain of mustard seed, you could say to this mulberry tree, ‘Be uprooted and planted in the sea,’ and it would obey you."	Luke 17:6
Old Testament Prophecies	100	Who did the Sadducees, who deny the resurrection, say gave the law about a brother marrying his deceased brother's wife?	Moses	Matthew 22:24
Old Testament Prophecies	200	The angel told Zechariah that John would go before the Lord in the spirit and power of which prophet?	Elijah	Luke 1:17
Old Testament Prophecies	300	What did Jesus say must happen to the Son of Man, just as Moses lifted up the serpent in the wilderness?	He must be lifted up.	John 3:14
Old Testament Prophecies	400	What did Jesus say would be fulfilled, about being "numbered with the transgressors"?	He told his disciples to buy swords.	Luke 22:36-37
Old Testament Prophecies	500	What did the prophecy from Jeremiah speak of?	Rachel weeping for her children.	Matthew 2:18
The Miracles of Jesus	100	What was the name of the ruler of the synagogue whose daughter Jesus raised from the dead?	Jairus	Mark 5:22
The Miracles of Jesus	200	How many pigs were in the herd that the demons entered and rushed into the sea?	About two thousand	Mark 5:13
The Miracles of Jesus	300	What did Jesus say was the reason the disciples could not cast out the demon from the boy with seizures?	Because of their "little faith"	Matthew 17:20
The Miracles of Jesus	400	When Peter and Jesus needed to pay the temple tax, where did Jesus say Peter would find the money?	In the mouth of the first fish he caught.	Matthew 17:27
The Miracles of Jesus	500	What was the disciples' question to Jesus about the blind man?	"Rabbi, who sinned, this man or his parents, that he was born blind?"	John 9:2
The Parables of Jesus	100	In the parable of the sower, what does the seed that fell on rocky ground represent?	The one who hears the word and immediately receives it with joy, but has no root and falls away during tribulation.	Matthew 13:20-21
The Parables of Jesus	200	In the parable of the lost sheep, what does the shepherd do when he finds the one lost sheep?	He lays it on his shoulders, rejoicing.	Luke 15:5
The Parables of Jesus	300	What did the wicked servant in the parable of the minas do with his mina?	He kept it laid away in a handkerchief.	Luke 19:20
The Parables of Jesus	400	In the parable of the unforgiving servant, what did the king do when the first servant could not pay?	He ordered him, his wife, children, and all he had to be sold.	Matthew 18:25
The Parables of Jesus	500	What did the older son complain that his father had never given him?	A young goat, that he might celebrate with his friends.	Luke 15:29
The Passion of Christ	100	What did Pilate's wife advise him to do regarding Jesus?	"Have nothing to do with that righteous man"	Matthew 27:19
The Passion of Christ	200	What three languages was the inscription on Jesus' cross written in?	Aramaic, Latin, and Greek	John 19:20
The Passion of Christ	300	To whom did the risen Jesus say, "Do not cling to me, for I have not yet ascended to the Father"?	Mary Magdalene	John 20:17
The Passion of Christ	400	What did the angel at the tomb tell the women about Jesus' location?	"He is not here, for he has risen"	Matthew 28:6
The Passion of Christ	500	What did the soldiers who guarded the tomb spread among the Jews?	That Jesus' disciples came by night and stole him while they were asleep.	Matthew 28:13-15
Key Figures	100	What did Jesus say to the Samaritan woman at the well that revealed his knowledge of her life?	That she had had five husbands and the man she was with was not her husband.	John 4:17-18
Key Figures	200	Why did the rich young ruler go away sorrowful?	For he had great possessions.	Matthew 19:22
Key Figures	300	Why couldn't Zacchaeus see Jesus?	Because he was small in stature and the crowd was in the way.	Luke 19:3
Key Figures	400	What was the name of the high priest's servant whose ear Peter cut off?	Malchus	John 18:10
Key Figures	500	Who was the respected member of the council who asked Pilate for Jesus' body?	Joseph of Arimathea	Mark 15:43
