Category	Points	Question	Answer	Reference
The Burnt Offering	100	From what types of livestock were the people of Israel to bring their offerings?	From the herd or from the flock.	Leviticus 1:2
The Burnt Offering	200	What was the person offering a burnt offering required to do to its head?	Lay his hand on the head of the burnt offering.	Leviticus 1:4
The Burnt Offering	300	What two actions were to be performed on the burnt offering after it was killed?	It was to be flayed and cut into pieces.	Leviticus 1:6
The Burnt Offering	400	Which parts of the bull offering had to be washed with water before being burned?	Its entrails and its legs.	Leviticus 1:9
The Burnt Offering	500	How was the bird offering to be torn open before being burned?	By its wings, but not severed completely.	Leviticus 1:17
The Grain Offering	100	What two ingredients were to be poured and put on a grain offering of fine flour?	Oil and frankincense.	Leviticus 2:1
The Grain Offering	200	What was the burned portion of the grain offering called?	Its memorial portion.	Leviticus 2:2
The Grain Offering	300	If a grain offering was baked in an oven, what was a key requirement for the loaves or wafers?	They shall be unleavened.	Leviticus 2:4
The Grain Offering	400	What was the salt in the grain offering called?	The salt of the covenant with your God.	Leviticus 2:13
The Grain Offering	500	For a grain offering of firstfruits, what form of grain was to be offered?	Fresh ears, roasted with fire, crushed new grain.	Leviticus 2:14
The Peace Offering	100	What was offered to the Lord from a sacrifice of peace offering from the herd?	The fat covering the entrails and all the fat that is on the entrails.	Leviticus 3:3
The Peace Offering	200	If a lamb was offered as a peace offering, what specific piece of fat was to be removed?	The whole fat tail, cut off close to the backbone.	Leviticus 3:9
The Peace Offering	300	What declaration is made about fat in the law of peace offerings?	All fat is the Lord's.	Leviticus 3:16
The Peace Offering	400	By when must the flesh of a thanksgiving peace offering be eaten?	On the day of his offering; none shall be left until the morning.	Leviticus 7:15
The Peace Offering	500	What was the penalty for an unclean person who ate from the Lord's peace offerings?	That person shall be cut off from his people.	Leviticus 7:20
The Sin Offering	100	For what type of sin were the sin offerings in chapter 4 prescribed?	Unintentional sin.	Leviticus 4:2
The Sin Offering	200	How many times was the priest to sprinkle the bull's blood before the veil of the sanctuary?	Seven times.	Leviticus 4:6
The Sin Offering	300	What was the sin offering for one of the common people who sinned unintentionally?	A female goat without blemish.	Leviticus 4:28
The Sin Offering	400	If a person could not afford two turtledoves, what was their offering?	A tenth of an ephah of fine flour for a sin offering.	Leviticus 5:11
The Sin Offering	500	Under what circumstance was a sin offering forbidden to be eaten?	When any of its blood is brought into the tent of meeting to make atonement in the Holy Place.	Leviticus 6:30
The Guilt Offering	100	What offering was required for someone who unintentionally sinned regarding the holy things of the Lord?	A ram without blemish out of the flock for a guilt offering.	Leviticus 5:15
The Guilt Offering	200	In addition to a ram, what else was required for one who sinned unintentionally in holy things?	He shall make restitution and add a fifth to it.	Leviticus 5:16
The Guilt Offering	300	What sins against a neighbor are considered a breach of faith against the Lord?	Deceiving in a matter of deposit or security, robbery, oppression, or lying about a found item.	Leviticus 6:2-3
The Guilt Offering	400	When making restitution for deceiving a neighbor, what must be added to the full amount?	A fifth.	Leviticus 6:5
The Guilt Offering	500	What was the law for both the guilt offering and the sin offering?	There is one law for them.	Leviticus 7:7
Priestly Ordination	100	What was the first ritual action Moses performed on Aaron and his sons?	He washed them with water.	Leviticus 8:6
Priestly Ordination	200	How many times did Moses sprinkle anointing oil on the altar?	Seven times.	Leviticus 8:11
Priestly Ordination	300	What was done with the skin, flesh, and dung of the bull for the sin offering during the ordination?	It was burned up with fire outside the camp.	Leviticus 8:17
Priestly Ordination	400	Where were Aaron and his sons commanded to boil and eat the ordination offerings?	At the entrance of the tent of meeting.	Leviticus 8:31
Priestly Ordination	500	What was the penalty if Aaron and his sons failed to remain at the tent of meeting as commanded during their ordination?	They would die.	Leviticus 8:35
