Category	Points	Question	Answer	Reference
The Five Major Offerings	100	How is the aroma of the burnt offering described?	A pleasing aroma to the Lord.	Leviticus 1:9
The Five Major Offerings	200	For a grain offering of firstfruits, what form of grain was to be offered?	Fresh ears, roasted with fire, crushed new grain.	Leviticus 2:14
The Five Major Offerings	300	What two organs were offered with their fat as part of the peace offering?	The two kidneys and the long lobe of the liver.	Leviticus 3:4
The Five Major Offerings	400	For what type of sin were the sin offerings in chapter 4 prescribed?	Unintentional sin.	Leviticus 4:2
The Five Major Offerings	500	What offering was required for someone who unintentionally sinned regarding the holy things of the Lord?	A ram without blemish out of the flock for a guilt offering.	Leviticus 5:15
Priestly Duties	100	What was the priest to do to the head of a bird offering at the altar?	Wring off its head and burn it on the altar.	Leviticus 1:15
Priestly Duties	200	Who was to eat the remainder of the grain offering?	Aaron and his sons.	Leviticus 6:16
Priestly Duties	300	What must be done to an earthenware pot in which the sin offering was boiled?	It shall be broken.	Leviticus 6:28
Priestly Duties	400	Who received the skin of any man's burnt offering?	The priest who offers it.	Leviticus 7:8
Priestly Duties	500	What two substances did Moses sprinkle on Aaron, his sons, and their garments to consecrate them?	Some of the anointing oil and some of the blood that was on the altar.	Leviticus 8:30
Laws of Purity	100	Which flying animal listed among the birds is a mammal?	The bat.	Leviticus 11:19
Laws of Purity	200	What must a person who carries part of an unclean animal's carcass do?	Wash his clothes and be unclean until the evening.	Leviticus 11:25
Laws of Purity	300	If a new mother cannot afford a lamb, what can she bring as her offering?	Two turtledoves or two pigeons.	Leviticus 12:8
Laws of Purity	400	If a reddish-white diseased area appears on a bald head or forehead, what is it?	A leprous disease.	Leviticus 13:42
Laws of Purity	500	What must be done to a wooden vessel touched by a man with a discharge?	It shall be rinsed in water.	Leviticus 15:12
The Day of Atonement	100	Whom did the Lord warn not to come at any time into the Holy Place inside the veil?	Aaron.	Leviticus 16:2
The Day of Atonement	200	What type of garments was Aaron to wear on the Day of Atonement?	Holy linen garments.	Leviticus 16:4
The Day of Atonement	300	What was to be done with the goat on which the lot for the Lord fell?	It was to be used as a sin offering.	Leviticus 16:9
The Day of Atonement	400	What was done with the bull and goat whose blood was brought into the Holy Place?	They were carried outside the camp and their skin, flesh, and dung were burned.	Leviticus 16:27
The Day of Atonement	500	How is the Day of Atonement described?	A Sabbath of solemn rest.	Leviticus 16:31
Forbidden Relationships	100	Uncovering the nakedness of your father's wife is forbidden because it is whose nakedness?	Your father's nakedness.	Leviticus 18:8
Forbidden Relationships	200	What is the relationship of a man to his father's wife's daughter?	She is your sister.	Leviticus 18:11
Forbidden Relationships	300	Uncovering the nakedness of a woman and her daughter is described as what?	Depravity.	Leviticus 18:17
Forbidden Relationships	400	A woman giving herself to an animal to lie with it is called what?	Perversion.	Leviticus 18:23
Forbidden Relationships	500	What is the penalty for a man who lies with his daughter-in-law?	Both of them shall surely be put to death.	Leviticus 20:12
Sabbath and Jubilee	100	What was the seventh year for the land to be?	A Sabbath of solemn rest for the land, a Sabbath to the Lord.	Leviticus 25:4
Sabbath and Jubilee	200	What was to be proclaimed throughout the land in the Year of Jubilee?	Liberty.	Leviticus 25:10
Sabbath and Jubilee	300	The price of land was to be based on what?	The number of years for crops after the jubilee.	Leviticus 25:15
Sabbath and Jubilee	400	What happens to houses in villages without walls during the Jubilee?	They shall be released in the jubilee.	Leviticus 25:31
Sabbath and Jubilee	500	When will the land enjoy its Sabbaths?	When it lies desolate, while you are in your enemies' land.	Leviticus 26:34
